word_fr;word_en;phrase_fr;phrase_en
mensuel;monthly;il touchait un salaire mensuel de 70.000 francs;he earned a monthly salary of 70,000 francs
connerie;crap, bullsh!t, stupidity; oui, mec. arrête tes conneries ; yeah, man. stop your bullsh!t 
sanglant;bloody, cruel, covered in blood; il avait un trou sanglant ; he had a bloody hole 
coude;elbow; j'ai mal au coude ; I have a sore elbow 
ôter;to remove, take away, take off, take out; j'ôtai donc ma veste et mes chaussures ; so I removed my jacket and my shoes 
report;postponement, deferment; nous sommes contre le report des élections ; we're against postponing the elections 
créature;creature; tu es la plus belle créature que j'aie jamais vue ; you are the most beautiful creature I have ever seen
aucunement;in no way, not in the least, not at all; je ne me sens aucunement coupable ; I don't feel at all guilty 
globalement;globally; globalement, la réponse humanitaire a été positive ; the worldwide humanitarian response was positive
convenable;suitable, appropriate, correct, proper, acceptable; ils ont droit à une retraite convenable ; they have the right to a reasonable retirement 
itinéraire;itinerary, route; leur itinéraire n'est pas encore fixé ; their itinerary is not yet set 
purger;to purge, bleed, drain; ça va purger son système en une nuit ; this will purge his system in one night 
fâcher;to anger, make angry, get angry; il est sûrement fâché contre moi ; he's surely upset with me 
repasser;to cross again, retake, show again, iron; si je te dérange je peux repasser ; if I'm disturbing you I can come back another time 
alternatif;alternate, alternating; le rock alternatif francophone est en train de mourir ; French alternative rock is dying out 
palier;landing, level, flat; j'allai sur le palier et frappai à sa porte ; I went onto the porch and knocked at her door 
prochainement;shortly, soon; prévoyez-vous d'autres séries de concert prochainement? ; are you planning other concert series soon?
réglementaire;regulation, control, statutory; il démantèle la structure réglementaire de la loi actuellement en vigueur ; it dismantles the regulatory structure of the current law
costume;suit, costume, dress; voici un très beau costume, en pure laine ; here's a very beautiful suit, made of pure wool 
thérapie;therapy; mon jardin c'est une thérapie ; my garden is a therapy 
reproche;reproach; ce sont surtout là les reproches des communistes ; that is mostly communist innuendo 
curé;parish priest; je me confesserai au curé ; I will confess to my parish priest 
contrôleur;inspector, controller; les contrôleurs en grève ont obtenu jeudi soir satisfaction ; the striking controllers reached agreement Thursday night
soulagement;relief; j'ai besoin du soulagement ; I need relief 
dissoudre;to dissolve, disband, break up; je fis dissoudre dans le lait une poudre somnifère ; I dissolved some sleeping powder in the milk
avalanche;avalanche; le danger d'avalanches est encore faible ; avalanche danger is still low 
mark;mark; sa monnaie de référence est le mark allemand ; its reference currency is the German mark 
brèche;breach, gap; c'était une brèche, dans la clôture, une large brèche ; it was a gap in the fence 
incitation;incitement, incentive; il y a eu de l'incitation au piratage ; there was an incentive to engage in piracy 
entraîneur;coach, trainer; maintenant je travaille avec quelques entraîneurs ; now I work with some trainers 
éditorial;editorial; pourriez-vous nous parler de vos choix éditoriaux? ; could you talk about your editorial choices?
conjugal;conjugal, married; ils vivent dans une relation conjugale ; they live in a conjugal relationship 
pâle;pale; monsieur, vous êtes pâle, vous avez l'air fatigué ; sir, your're pale, you look tired 
relâcher;to loosen, release, let go; le plus âgé a depuis été relâché ; the oldest one has since been let go 
visa;visa, stamp; il s'est avéré que le visa était faux ; it turned out that the visa was false 
vingt-cinq;twenty five; ils nous envoyaient quinze, vingt, vingt-cinq films de plus ; they sent us fifteen, twenty, twenty-five more films
péché;sin; pardonnez-moi mon père car j'ai péché ; forgive me Father, for I have sinned 
gendarme;policeman; les gendarmes poursuivent leurs investigations ; the policemen are pursuing their investigations
sécheresse;dryness, drought; après dix années de sécheresse, il pleut au Sahel ; after ten years, of drought, it's raining in the Sahel
score;score; c'est vrai que les bons scores me font plaisir ; it's true that I enjoy good scores 
goûter;to taste, snack; je goûtai à la confiture ; I tasted the jam 
renier;to disown, repudiate, go back on; tu renies ton passé, notre amour, TA fille ; you're disowning your past, our love, YOUR daughter
juridiction;jurisdiction, court of law; la haute juridiction a mis sa décision en délibéré ; the upper jurisdiction put its decision to debate
prostitution;prostitution; on légalise la prostitution ; we're legalizing prostitution 
fiche;card, sheet, slip, form; mais je dois remplir cette fiche ; but I have to fill out this form 
déséquilibre;imbalance; mon budget personnel est en déséquilibre ; my personal budget is out of balance 
probabilité;probability, likelihood; t'es-tu intéressé à la théorie des probabilités? ; are you interested in probability theory? 
entraver;to hinder, hamper, get in the way of; son pantalon entravait la liberté de ses mouvements ; his trousers hampered his freedom of movement
sous-estimer;to underestimate; ne sous-estimez pas votre charme ; don't underestimate your charm 
embargo;embargo; l'OTAN se préparent à décréter un embargo pétrolier ; NATO is preparing to announce an oil embargo
interdit;prohibited, banned; l'entrée était strictement interdite ; entry was strictly forbidden 
brouillard;fog, mist, haze; peu à peu le brouillard se fait moins épais ; the fog gradually lifted 
syrien;Syrian; le président syrien avait confirmé cet entretien ; the Syrian president confirmed this interview 
jet;jet, throw, spray, nozzle; il traversait cet etat dans un jet privé ; he crossed this state in a private jet 
trêve;truce; nous rejetons toute idée de trêve ou de négociation politique ; we reject any idea of a truce or political negotiation
occupant;occupant, occupier, occupying; le parlement négocie avec les occupants ; the parliament is negotiating with the occupants 
ponctuel;punctual; c'est à vous dégoûter d'être toujours ponctuel ; I'm always on time in order to annoy you 
défini;definite; vous n'avez aucun rôle défini dans ce partenariat ; you have no definite role in this partnership
détachement;detachment; elle parle de tout avec un détachement singulier ; she talks about everything with remarkable indifference
manuscrit;manuscript, handwritten; je jetterai au feu tous mes manuscrits ; I will toss all my manuscripts into the fire 
panier;basket; par terre s'empilaient encore des paniers et des caisses ; still more baskets and boxes were piling up on the ground
bouton;button, knob, spot; elle pressa le bouton qui commande l'ouverture de la porte ; she pushed the button that opened the door
immobile;still, motionless; je restais là, immobile ; I stayed there, motionless 
fermeté;firmness, solidness, steadiness; la patience, la tolérance et la fermeté sont nécessaires ; patience, tolerance, and firmness are necessary
véhiculer;to transport, convey; je peux véhiculer ça sans aucun problème ; I can deliver this by vehicle, no problem 
répliquer;to reply; l'orateur répliqua que c'était presque fait ; the speaker responded that it was almost done 
passionnant;fascinating, exciting; j'aimais tant étudier que je trouvais passionnant d'enseigner ; I loved studying so much that I found teaching exciting
théologie;theology; en théologie, on m'enseignait des choses intelligentes ; in theology I was taught intelligent things
advenir;to happen that, happen to; on ignore ce qu'il est advenu de lui ; we have no idea what has become of him 
immigrer;to immigrate; mes grands-parents ont immigré au Canada ; my grandparents immigrated to Canada 
tache;stain, spot, mark; c'est une tache d'humidité, dis-je ; it's a humidity stain, I said 
